51
100
34 34 34   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   17 17 17   17 18 18   17 17 17   19 18 19   24 22 22   29 32 36   57 63 66   61 60 61   65 61 58   66 62 59   66 65 65   66 66 67   42 37 38   26 23 24   18 17 17   17 17 17   17 17 17   19 18 18   18 17 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   18 18 18   34 34 34   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   13 13 13   42 42 42   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   64 64 64   33 33 33   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   11 11 11   39 39 39   43 41 42   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   59 59 59   64 64 64   48 48 48   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   26 26 26   42 41 42   43 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   59 59 59   61 61 61   60 60 60   15 15 15   0 0 0   2 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 1 0   5 6 6   39 38 38   45 41 42   45 40 41   45 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   66 66 66   47 45 46   1 0 0   3 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 1   9 9 9   38 36 36   44 40 41   45 40 41   45 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   64 64 64   48 46 47   3 0 1   4 1 2   3 2 2   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   17 16 17   41 38 40   41 37 38   44 40 41   45 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 61 61   14 9 10   4 0 1   2 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 0 0   21 19 20   40 37 39   40 36 37   45 41 42   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   69 66 67   31 27 28   2 0 0   3 1 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   7 6 6   37 33 34   44 40 41   41 38 39   41 39 40   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   67 65 66   48 45 46   0 0 0   2 2 2   0 0 0   0 0 0   1 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 0   1 1 0   1 1 1   1 1 1   0 0 0   13 12 12   42 38 39   39 34 0   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 65 64   61 62 62   8 9 8   1 1 1   0 1 1   1 1 1   2 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 1 1   2 1 2   1 1 2   1 1 2   1 1 1   1 0 0   20 18 16   41 38 39   41 38 39   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 63   67 68 68   38 39 40   0 0 1   0 1 1   1 1 1   2 0 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 0 3   1 1 3   1 1 3   1 0 0   6 1 0   33 30 27   39 37 38   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   69 67 70   54 53 56   0 0 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 0   0 0 2   0 0 2   1 1 3   0 0 0   13 8 7   37 33 32   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   68 64 68   64 61 64   10 9 12   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 2   1 1 3   0 1 1   1 1 1   25 20 19   39 34 34   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 62 63   68 63 67   72 68 71   34 32 0   2 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 0 1   1 1 1   1 1 1   1 1 1   7 4 4   36 29 30   37 31 32   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   68 62 67   70 66 69   67 65 68   10 8 9   1 1 1   2 2 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 0   10 7 7   37 30 32   34 28 30   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   67 62 67   68 65 68   70 68 71   26 24 25   0 0 0   2 2 2   1 1 1   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 0 1   24 20 22   38 30 33   39 33 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   63 63 64   65 64 67   66 65 68   70 70 73   44 45 45   0 0 0   2 2 2   2 2 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   3 2 2   2 1 2   3 0 1   3 1 2   30 23 26   37 31 33   40 33 0   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 55   54 52 56   56 56 56   57 57 57   58 58 58   58 58 58   59 59 59   62 62 62   64 63 64   65 63 67   66 65 68   68 68 70   68 68 69   14 14 14   1 2 1   1 2 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 1 1   0 1 1   1 0 0   14 14 14   0 28 31   36 33 34   40 34 36   38 36 37   39 37 38   41 39 40   42 40 41   44 42 43   45 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 53 55   55 56 56   56 58 57   57 59 58   57 59 58   58 60 59   61 63 62   63 64 64   66 63 67   67 65 68   67 67 69   71 71 71   33 33 33   0 0 0   0 1 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 2 1   1 2 1   2 1 1   26 25 25   38 31 34   0 33 34   40 0 37   39 36 37   39 37 38   42 39 40   42 40 41   45 42 43   46 43 44   47 45 46   47 45 46   48 46 47   50 48 50   52 50 53   53 51 54   54 52 55   55 56 56   56 58 57   57 59 58   57 59 58   58 60 59   61 63 62   63 63 64   66 63 67   67 65 68   68 66 69   71 69 70   63 62 62   9 8 9   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   0 2 1   1 1 1   9 5 6   32 29 30   38 29 32   37 33 34   40 33 0   40 0 36   41 36 38   43 38 39   44 39 41   46 41 42   47 42 43   47 45 46   47 45 46   48 46 47   50 48 49   53 51 52   54 52 54   55 52 55   57 55 57   58 56 58   59 57 59   59 57 59   61 58 60   62 60 62   64 62 64   65 63 66   66 64 67   69 67 69   68 66 67   74 72 74   31 29 31   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   2 1 2   2 1 1   15 7 10   37 31 33   43 33 36   40 0 37   41 34 36   41 0 37   43 36 38   44 38 40   47 41 43   48 41 44   48 43 45   49 46 47   49 47 48   50 48 49   52 50 51   55 53 54   55 53 54   56 54 55   60 55 59   61 56 60   62 57 61   63 58 62   64 59 63   65 60 65   65 61 64   64 63 63   65 64 65   67 65 66   72 70 73   79 77 81   59 57 61   6 6 6   0 0 0   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   1 0 1   1 0 0   24 18 20   34 30 31   37 29 32   33 32 32   36 32 34   37 34 0   38 0 36   39 36 37   42 38 39   42 39 40   43 40 41   45 43 44   46 46 46   47 46 47   48 47 48   49 49 49   50 49 49   50 50 50   55 54 57   56 55 58   57 56 59   58 57 59   58 57 60   59 58 61   60 59 61   62 62 62   63 63 63   63 62 63   50 48 51   47 46 48   67 64 68   28 27 28   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   0 0 0   17 17 17   
18 18 18   2 1 1   2 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   4 6 5   5 4 4   12 8 9   10 8 9   11 8 9   8 10 10   9 9 9   9 8 9   9 9 9   10 10 10   10 10 10   10 10 10   11 11 11   11 11 11   12 11 12   12 12 12   12 12 12   12 12 12   13 13 13   13 13 14   13 14 16   13 15 16   14 16 17   14 15 17   14 15 17   14 16 18   15 17 18   15 17 16   16 16 17   16 16 16   6 6 7   5 5 6   13 11 14   15 14 16   7 7 9   1 1 2   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   1 1 1   18 18 18   
18 18 18   3 0 1   2 0 1   2 0 1   2 1 1   3 1 1   5 1 2   12 7 8   34 31 32   34 32 33   33 31 32   34 32 33   34 32 33   36 34 0   36 34 0   37 34 0   38 36 37   39 37 37   41 39 39   42 39 40   43 40 41   43 41 42   44 42 43   46 44 45   46 44 45   47 45 47   49 47 50   50 48 51   51 50 53   53 51 54   53 52 54   55 53 56   55 54 56   57 55 58   58 56 59   59 58 60   60 59 61   61 60 62   64 63 66   65 64 67   65 64 66   64 63 67   70 69 73   26 23 25   0 0 0   0 2 1   1 1 1   2 0 2   1 1 1   1 1 1   18 18 18   
17 17 17   0 1 1   0 2 1   0 2 1   1 1 1   4 0 1   11 2 5   38 28 31   0 32 33   33 32 32   33 32 32   33 32 32   34 33 33   34 34 34   36 0 36   39 36 37   40 37 38   41 38 39   45 42 43   46 43 44   47 44 45   47 45 46   47 46 47   49 48 49   49 48 49   50 49 50   52 51 52   53 52 55   55 54 57   56 55 58   57 56 59   59 58 61   59 58 61   61 60 63   62 61 64   64 62 65   65 63 66   66 64 67   68 66 69   69 67 70   70 68 71   70 70 70   73 72 71   68 64 63   43 42 40   0 0 0   1 1 1   2 0 3   0 0 0   0 0 0   17 17 17   
18 18 18   2 0 1   2 1 1   1 1 1   1 1 1   2 0 0   12 9 10   37 32 34   34 33 34   0 0 0   0 0 0   34 34 34   34 34 34   0 36 36   37 36 37   40 38 39   41 39 40   42 40 41   45 43 44   46 44 45   47 45 46   48 47 47   48 49 48   50 50 50   50 50 50   51 51 51   54 53 53   55 54 55   57 56 59   58 57 60   59 58 61   61 60 63   61 60 63   62 62 65   64 63 66   67 64 67   68 65 68   69 66 69   71 68 71   72 69 72   73 70 74   73 71 77   72 69 77   82 78 84   57 55 58   0 0 0   0 1 1   2 0 1   1 1 1   1 1 1   18 18 18   
18 18 18   4 0 1   4 0 1   2 0 1   1 2 1   1 2 2   3 4 4   12 11 11   24 18 19   25 19 20   26 19 20   26 20 21   26 20 21   27 21 22   29 22 23   31 24 24   31 24 25   32 24 25   33 25 26   34 26 27   34 26 27   36 28 30   36 29 32   37 30 32   38 31 33   40 33 34   40 33 0   41 33 36   42 0 38   42 0 39   43 36 39   45 38 41   46 39 42   47 40 43   48 40 43   47 40 43   48 40 44   49 41 44   50 43 46   51 44 46   51 44 47   50 48 49   50 49 48   49 46 45   20 19 18   0 1 0   1 1 1   2 0 2   1 1 1   1 1 1   18 18 18   
17 17 17   1 1 1   1 1 1   0 2 1   1 2 2   1 1 1   3 0 0   4 0 0   4 2 1   4 2 1   5 2 1   4 2 1   4 2 1   5 3 1   5 2 1   4 2 1   4 2 1   4 2 1   3 1 1   4 1 1   5 2 1   5 2 1   5 2 3   6 3 4   6 3 4   5 2 3   6 3 4   6 3 4   5 1 2   6 1 2   7 2 3   6 2 3   7 2 3   7 3 4   7 3 4   7 2 3   7 2 3   7 2 3   6 2 3   7 2 3   7 2 3   4 3 3   6 4 4   5 1 1   0 0 0   0 1 0   1 0 1   1 0 1   0 0 0   0 0 0   17 17 17   
18 18 18   1 1 1   1 1 1   0 2 1   1 2 1   1 1 1   2 1 1   16 12 13   31 27 26   32 29 28   33 29 28   0 32 30   36 32 32   37 33 32   38 0 34   40 36 0   41 37 36   42 38 37   43 39 38   43 40 39   45 41 40   46 43 41   47 43 42   47 44 45   49 46 46   51 47 48   51 48 49   52 48 50   53 48 50   53 49 50   54 50 51   56 52 53   58 54 55   59 54 56   60 55 57   60 56 57   61 57 58   62 58 59   64 59 61   65 60 61   66 61 62   62 60 63   69 68 71   31 27 31   0 0 0   0 1 2   1 1 1   1 0 0   1 1 0   1 1 1   18 18 18   
18 18 18   3 0 1   2 0 1   1 1 1   1 2 1   1 2 1   7 5 5   27 25 24   32 33 30   33 34 32   33 34 33   0 36 34   36 37 0   38 39 37   39 40 38   41 42 41   42 43 42   43 44 43   44 45 43   45 46 44   46 47 45   47 48 46   48 49 47   50 51 49   50 51 51   51 52 51   52 53 53   53 54 54   54 55 55   56 56 56   57 57 57   58 59 59   59 60 60   60 61 61   61 62 62   61 62 62   62 63 63   64 65 64   64 65 66   65 66 67   66 67 68   68 69 67   69 69 66   59 58 54   19 18 17   1 1 1   1 1 2   3 1 4   1 1 1   1 1 1   18 18 18   
18 18 18   2 0 1   1 1 1   0 2 1   1 2 1   3 0 0   26 18 18   38 31 29   33 31 31   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   73 73 73   57 57 57   3 3 3   2 2 6   2 2 7   1 1 2   1 1 1   18 18 18   
17 17 17   1 0 1   1 1 1   0 2 1   0 0 0   15 10 10   39 31 31   37 30 30   33 31 31   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   69 69 69   68 68 66   14 14 13   0 0 2   2 1 4   1 1 1   0 0 0   17 17 17   
18 18 18   2 0 1   1 1 1   0 1 0   8 6 5   33 28 27   39 31 32   37 31 31   33 30 31   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 67 68   67 66 70   67 67 70   68 68 69   75 74 74   0 0 32   1 1 0   2 3 2   2 2 2   1 1 1   18 18 18   
18 18 18   1 0 1   1 1 1   0 0 0   17 16 14   40 33 33   38 29 31   36 30 32   34 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   67 66 68   66 67 70   67 67 70   69 68 70   73 71 71   63 62 60   6 6 5   2 4 2   1 1 1   1 1 1   18 18 18   
17 17 17   0 0 0   1 1 1   2 3 1   29 28 25   38 30 31   38 29 31   36 30 33   34 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   67 66 68   66 67 69   67 67 69   69 69 71   69 67 69   74 73 74   22 22 22   0 0 0   1 1 1   0 0 0   17 17 17   
18 18 18   0 0 0   0 1 0   12 14 11   36 34 30   38 29 29   37 30 32   36 30 34   34 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   67 66 68   66 67 69   67 67 69   69 68 71   69 67 70   74 73 76   56 56 57   4 5 5   1 0 1   1 1 1   18 18 18   
18 18 18   0 2 0   0 1 0   20 19 20   37 34 33   34 31 32   33 31 33   34 31 34   33 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   69 69 71   69 68 70   70 69 70   76 76 76   19 19 19   0 0 0   1 1 1   18 18 18   
18 18 18   0 1 0   3 3 2   29 25 27   34 31 32   32 32 32   32 32 32   33 31 34   33 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   69 69 71   69 69 71   71 71 70   72 71 72   18 16 17   0 0 0   1 1 1   18 18 18   
18 18 18   2 1 0   9 5 4   0 29 29   36 31 32   34 31 32   33 31 32   33 31 32   33 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   69 68 71   70 68 70   70 68 69   75 71 72   36 33 34   0 0 0   1 1 1   18 18 18   
18 18 18   1 1 0   11 5 5   36 26 28   37 30 31   34 31 31   33 31 31   33 31 31   33 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   69 68 71   71 69 71   71 67 68   80 76 77   51 48 49   0 0 0   1 1 1   18 18 18   
18 18 18   1 0 0   7 3 4   0 27 29   37 30 32   34 31 32   33 32 31   33 32 31   33 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   68 68 70   71 69 72   71 68 69   78 74 75   49 45 46   0 0 0   1 1 1   18 18 18   
17 17 17   1 2 2   4 3 5   32 27 30   36 31 34   33 31 32   32 32 32   33 31 32   33 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   69 68 71   70 69 71   72 71 72   78 75 76   48 45 46   0 0 0   0 0 0   17 17 17   
18 18 18   0 1 3   5 5 7   31 28 31   34 30 33   32 32 32   32 32 32   33 31 32   33 31 32   34 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   55 53 54   56 54 55   58 55 56   57 57 58   57 57 59   59 59 61   60 60 61   61 61 61   62 62 62   63 63 63   64 64 66   65 65 67   66 66 68   67 67 69   67 67 69   69 69 71   69 69 71   70 70 70   73 73 73   26 25 25   0 0 0   1 1 1   18 18 18   
18 18 18   3 0 3   4 1 2   23 19 20   36 33 32   34 31 31   33 31 34   33 31 34   32 32 32   33 32 33   0 33 34   36 34 0   37 0 36   39 37 38   39 37 38   41 39 40   42 40 41   43 41 42   44 42 43   45 43 44   46 44 45   47 45 46   48 46 47   50 48 49   51 49 50   52 50 51   53 51 52   54 52 53   57 53 54   58 54 55   57 56 56   58 56 58   58 57 60   58 58 63   60 59 62   61 61 61   62 62 62   63 63 63   64 64 66   65 65 68   66 65 70   67 66 71   67 66 71   69 69 71   68 68 70   71 69 70   76 74 75   20 17 18   0 0 0   1 1 1   18 18 18   
